Year,URL,Date,Competition,Opponent,Goals Scored,Goals Received,Attendance,Month,DOW,Result
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvspor-03-16-2024,Saturday March 16,MLS Regular Season,Portland,1.0,0.0,16003.0,March,Saturday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvssj-03-30-2024,Saturday March 30,MLS Regular Season,San Jose,2.0,1.0,16184.0,March,Saturday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsatx-04-20-2024,Saturday April 20,MLS Regular Season,Austin,0.0,1.0,20115.0,April,Saturday,L
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsstl-05-04-2024,Saturday May 4,MLS Regular Season,St. Louis,0.0,0.0,17212.0,May,Saturday,D
2024,https://www.houstondynamofc.com/competitions/us-open-cup/2024/matches/houvsdet-05-07-2024,Tuesday May 7,U.S. Open Cup,Detroit,3.0,3.0,17244.0,May,Tuesday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsdal-05-18-2024,Saturday May 18,MLS Regular Season,Dallas,1.0,1.0,19284.0,May,Saturday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvscol-05-29-2024,Wednesday May 29,MLS Regular Season,Colorado,3.0,1.0,15237.0,May,Wednesday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvssea-06-19-2024,Wednesday June 19,MLS Regular Season,Seattle,2.0,2.0,15096.0,June,Wednesday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsclt-06-29-2024,Saturday June 29,MLS Regular Season,Charlotte,1.0,0.0,15321.0,June,Saturday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsmin-07-13-2024,Saturday July 13,MLS Regular Season,Minnesota,1.0,1.0,17142.0,July,Saturday,D
2024,https://www.houstondynamofc.com/competitions/leagues-cup/2024/matches/houvsats-07-27-2024,Saturday July 27,Leagues Cup,Atlas,0.0,1.0,15398.0,July,Saturday,L
2024,https://www.houstondynamofc.com/competitions/leagues-cup/2024/matches/houvsrsl-08-05-2024,Monday August 5,Leagues Cup,Salt Lake,3.0,0.0,11062.0,August,Monday,W
2024,https://www.houstondynamofc.com/competitions/leagues-cup/2024/matches/tolvshou-08-09-2024,Friday August 9,Leagues Cup,Houston,2.0,2.0,13053.0,August,Friday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvstor-08-24-2024,Saturday August 24,MLS Regular Season,Toronto,0.0,1.0,16640.0,August,Saturday,L
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvslafc-09-07-2024,Saturday September 7,MLS Regular Season,LAFC,0.0,0.0,15072.0,September,Saturday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsrsl-09-14-2024,Saturday September 14,MLS Regular Season,Salt Lake,4.0,1.0,15862.0,September,Saturday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsvan-09-18-2024,Wednesday September 18,MLS Regular Season,Vancouver,1.0,1.0,14282.0,September,Wednesday,D
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsne-10-02-2024,Wednesday October 2,MLS Regular Season,New England,2.0,1.0,15358.0,October,Wednesday,W
2024,https://www.houstondynamofc.com/competitions/mls-regular-season/2024/matches/houvsla-10-19-2024,Saturday October 19,MLS Regular Season,LA,2.0,1.0,20800.0,October,Saturday,W
